CourseLink,room_link
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185291&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E9
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185291&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E10
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A06&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BA_PRAKT
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A06&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AUDI
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A06&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E4
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A06&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E7
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A06&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HEEG07
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A06&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HEEG10
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A06&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HEEG10
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A06&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HEEG07
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A06&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E4
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A06&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HEEG10
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A06&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HEEG07
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A06&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F8
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A06&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HEEG10
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A06&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HEEG07
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A34&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ARG
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A34&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ARG
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A34&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ARG
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A34&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ARG
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A34&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ARG
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A34&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ARG
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A39&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=SEMG
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A03&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=INFH
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A03&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A03&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=RADI
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A03&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E9
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A03&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=INFH
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A03&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=INFH
https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185A03&semester=2016W,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=INFH
